State,District,Theft_2017,Murder_2017,RegisteredUsers_2017,Theft_2018,Murder_2018,RegisteredUsers_2018,TransactionVolume_2018,Theft_2019,Murder_2019,RegisteredUsers_2019,TransactionVolume_2019,Theft_2022,Murder_2022,RegisteredUsers_2022,TransactionVolume_2022,Theft_2023,Murder_2023,RegisteredUsers_2023,TransactionVolume_2023
Bihar,Siwan,714.0,71.0,52000.0,905.0,81.0,160063.0,985265.0,969.0,111.0,282776.0,2560124.0,1324.0,94.0,730485.0,46041981.0,1388.0,65.0,859890.0,93600819.0
Bihar,Supaul,313.0,47.0,29348.0,314.0,52.0,86568.0,579060.0,347.0,53.0,150088.0,1275417.0,530.0,42.0,385797.0,19836135.0,484.0,60.0,453594.0,59428193.0
Bihar,Vaishali,1243.0,100.0,67921.0,1426.0,119.0,189344.0,1468110.0,1653.0,153.0,312949.0,3383449.0,1434.0,117.0,758603.0,38004937.0,1420.0,114.0,891651.0,91827856.0
Chandigarh,Chandigarh,1460.0,25.0,86268.0,1298.0,20.0,209175.0,2383031.0,908.0,26.0,312887.0,5884404.0,1276.0,18.0,654522.0,50755993.0,1412.0,17.0,754849.0,47701535.0
Chhattisgarh,Balod,135.0,16.0,13500.0,103.0,15.0,42804.0,260922.0,150.0,20.0,68724.0,622903.0,111.0,16.0,168030.0,7180041.0,84.0,13.0,197698.0,16999203.0
Chhattisgarh,Balrampur,45.0,41.0,9313.0,35.0,50.0,27410.0,226839.0,71.0,37.0,45517.0,587633.0,114.0,56.0,121253.0,6772773.0,89.0,49.0,144136.0,18093353.0
Chhattisgarh,Bilaspur,1026.0,58.0,68704.0,819.0,57.0,184636.0,1193132.0,793.0,48.0,284320.0,3971015.0,1138.0,54.0,651084.0,50019321.0,856.0,32.0,759420.0,112768823.0
Chhattisgarh,Dhamtari,82.0,25.0,15571.0,59.0,13.0,44369.0,296901.0,96.0,22.0,69476.0,662367.0,218.0,27.0,166518.0,7293996.0,166.0,27.0,195666.0,18113247.0
Chhattisgarh,Durg,728.0,38.0,91516.0,646.0,44.0,224058.0,1456431.0,781.0,35.0,353311.0,7207692.0,924.0,39.0,773280.0,113624998.0,754.0,47.0,897874.0,115231212.0
Chhattisgarh,Gariyaband,66.0,13.0,8679.0,54.0,26.0,25995.0,246486.0,49.0,9.0,39610.0,447268.0,87.0,19.0,99065.0,5013453.0,84.0,21.0,117351.0,12911154.0
Chhattisgarh,Jashpur,70.0,50.0,12420.0,83.0,47.0,35598.0,258140.0,103.0,64.0,59351.0,574295.0,200.0,64.0,158413.0,7366690.0,168.0,71.0,188309.0,19705675.0
Chhattisgarh,Kabirdham,50.0,19.0,10892.0,74.0,20.0,36729.0,229177.0,56.0,29.0,60401.0,561375.0,142.0,22.0,154630.0,8168525.0,107.0,21.0,182942.0,21364570.0
Chhattisgarh,Kanker,166.0,29.0,10256.0,108.0,29.0,36502.0,234262.0,149.0,45.0,61891.0,668928.0,64.0,27.0,161542.0,8212344.0,64.0,40.0,191312.0,19195563.0
